,Latitude,Longitude,January,February,March,April,May,June,July,August,September,October,November,December
72000,-35.31,148.06,-0.47849788,0.446194226,0.35018649,0.111988095,0.30019685,-0.122328459,0.127952756,-0.228908886,-0.846456693,-0.658628609,0.121529217,-0.423228346
72004,-35.52,148.15,-0.656167979,1.029527559,0.643342878,0.532075035,0.005249344,-0.879265092,-0.367454068,-0.690490612,-2.054402291,-0.763779528,-0.060569352,-0.669291339
720024,-35.5,147.77,-0.498453318,0.557742782,0.075161059,0.00246063,0.392607174,0.017267578,0.117641545,-0.129689671,-0.807555306,-0.821030184,-0.122422197,-0.193700787
72042,-35.28,147.74,-0.350721785,0.324334458,0.384795651,0.082020997,0.219850808,-0.032976647,0.114173228,0.002187227,-0.47346799,-0.521184852,-0.045686134,-0.103197328
72044,-35.3,148.21,-0.502725621,0.602983838,0.269569245,0.224971879,0.181852268,-0.11023622,0.437664042,-0.208738614,-0.636000463,-0.861220472,0.143771091,0.031824147
72154,-35.22,148.03,-0.260448213,0.583392985,0.547244094,0.196850394,0.336832896,0.052493438,0.216535433,-0.035433071,-0.761154856,-0.862392201,0.09305655,0.174978128
73019,-34.85,147.57,-0.442018611,0.036795881,-0.267716535,-0.020341207,-0.165176721,-0.26458247,-0.194571073,-0.051592109,-0.777848541,-0.788495188,-0.261646982,-0.183727034
73025,-34.79,147.56,-0.22190408,0.285433071,0.254391278,0.127195639,0.179977503,0.101237345,0.153901217,0.107086614,-0.579813887,-0.666975452,-0.043307087,0.023622047
73029,-34.55,148.35,0.337347537,0.380577428,0.8223972,0.495599815,0.465282749,0.708661417,0.693350831,0.579082506,0.354330709,0.393700787,0.669291339,0.462598425
73124,-34.93,147.77,0.362204724,0.172244094,0.363899825,0.06991117,-0.033745782,0.188323719,0.00738189,-0.034448819,-0.695779296,-0.430200131,0.392169729,0.244969379
63007,-34.32,149.36,-0.876073729,0.564304462,0.287169986,-0.101646385,-0.279808774,-0.490070953,0.181102362,-0.705380577,-0.956130484,-1.102362205,-0.31496063,-0.594488189
63022,-33.8,148.7,-0.367454068,0.370734908,0.173228346,0.176696663,0.023977266,0.173228346,-0.157480315,-0.286464192,-0.551181102,-0.293307087,0.033725104,-0.194389764
63029,-33.74,149.1,-0.354330709,-0.047590205,0.389326334,0.426509186,0.267716535,0.127195639,0.243378669,-0.436351706,-0.843175853,-0.962379703,0.268927922,0.137795276
63032,-34.28,149.67,-0.727988547,0.250437445,0.138988308,0.078740157,-0.149606299,-0.451662292,-0.341043307,-0.135608049,-0.662729659,-0.551181102,-0.548152635,-0.063571098
63083,-33.82,149.32,-0.337457818,0.446194226,0.845221553,0.503937008,0.004416515,-0.055555556,0.118110236,-1.043307087,-0.850393701,-0.656723198,-0.090277177,-0.204834536
63094,-34,149.12,-0.287098728,0.148731409,0.238681102,0.561023622,0.29299627,-0.124359455,-0.015211167,-0.231299213,-0.839895013,-0.718503937,-0.104986877,-0.24671916
63267,-33.97,148.95,-0.698596886,0.521872266,0.422710319,0.205935796,-0.164041995,-0.406605424,-0.426454046,-0.448818898,-0.769028871,-0.58285612,0.351596675,0.423447069
70043,-34.78,149.27,-0.067855489,0.049709695,0.330708661,0.21872266,0,0.310816411,-0.242277408,0.143163923,-0.376004136,-0.501334392,-0.307408825,0.144356955
70220,-34.44,148.72,-0.488188976,0.553094926,0.403168354,0.218398212,0.071241095,0.127373784,0.047806524,-0.32152231,-0.440944882,-0.599636584,-0.323709536,-0.24671916
73023,-34.61,148.79,0,0.532654006,0.811202577,0.474123427,0.377952756,0.679133858,0.599119963,0,-0.433070866,-0.044994376,0.145177165,0.584926884
73100,-33.91,148.44,-0.471503562,0.253093363,0.458972234,0.252797348,0.230596175,0.393700787,0.330708661,-0.043588301,-0.493356299,-0.822834646,0.011154856,0.278246469
61007,-32.03,150.58,-0.252362205,-0.089238845,0.511811024,0.088582677,-0.267716535,0.295275591,0.085587128,0.078740157,-0.004542701,-0.134983127,0.481189851,-0.450131234
61016,-32.39,150.69,-0.53455818,-0.139107612,0.742066333,0.402066929,-0.328680506,0.453513022,-0.087528121,0.029058868,-0.344488189,0.122484689,0.884312538,-0.818897638
61026,-32.01,151,-0.059055118,-0.082489689,0.546440892,0.125984252,-0.098425197,0.602130616,-0.098862642,0.067644953,-0.010413101,-0.287401575,1.024934383,-0.871062992
61051,-31.77,150.84,-0.622047244,0.052493438,0.718503937,0.078740157,-0.453471725,0.23924894,-0.140040061,0.098425197,-0.319335083,-0.633500358,0.099737533,-0.561541649
61065,-32.14,150.73,0.186113099,0.164638511,0.433070866,0.393700787,-0.275590551,0.255905512,0.057742782,0.196850394,-0.113735783,-0.026246719,0.34811438,-0.21872266
61073,-32.08,150.37,0.033745782,0.083989501,0.614173228,0,0.118110236,0.479002625,0.175056243,-0.019685039,-0.119047619,-0.402137233,0.667793564,0.31496063
61097,-31.92,151.24,-0.118110236,0.62992126,0.149606299,0.359955006,-0.335433071,0.359955006,0.300644238,0.314413823,-0.206224222,0.026246719,-0.007158196,-0.011248594
61100,-32.77,151.09,-0.956864088,0.095144357,0.453234085,0.187764991,-0.161624534,0.68503937,-0.060569352,-0.113735783,0.069991251,0.557238038,0.517962598,-0.586614173
62032,-32.36,149.95,-0.320584927,-0.09623797,0.339566929,0.495585779,-0.005624297,0.464566929,-0.094488189,0.051352277,-0.248060025,-0.271434821,0.147637795,-0.062335958
62036,-32.28,149.74,-0.622047244,-0.391681809,-0.019685039,0.396512936,-0.249343832,0.384951881,0.035433071,0.112485939,-0.461942257,-0.078740157,-0.068897638,-0.62992126
82001,-36.37,146.71,-0.288713911,0.297576439,0.449943757,-0.00984252,0.622047244,-0.688976378,0.404438082,-0.131233596,-0.997375328,-0.697208304,0.153543307,0.131233596
82009,-36.61,146.54,-0.457635103,0.121138704,0.526953362,0.174353206,0.341207349,-0.565076424,-0.159269864,-0.417322835,-1.290264853,-0.384437239,-0.421491431,0.677165354
82015,-36.31,146.52,-0.170603675,0.25871766,0.288713911,0.078740157,0.472440945,-0.167979003,0.157480315,0.157480315,-0.586574405,-0.449943757,0.052493438,0.042949177
82029,-36.46,146.43,-0.177165354,0.146325459,0.293963255,0.080380577,-0.041024284,-0.266404199,-0.112091252,-0.065364426,-0.543307087,-0.281214848,0.076826334,0.019685039
82032,-36.58,146.38,-0.461895388,0.3832021,0.739595051,0.134064124,-0.236220472,-0.458380202,-0.31496063,0.216535433,-0.974409449,-0.787401575,0.531496063,0.086614173
83010,-36.63,146.86,-0.375529982,0.173228346,0.745884037,0.157480315,0.492125984,-1.306711661,0.137795276,-0.905511811,-1.5,-0.831146107,0.01211387,0.301065308
83032,-36.85,146.32,-0.157480315,0.218324982,0.97487814,0.415748031,0.42519685,-0.40119985,1.588698472,-0.472440945,-1.664791901,-0.703412073,-0.5,0.635545557
83073,-36.72,146.82,-0.440229062,0.410104987,0.546806649,0.220472441,-0.614173228,-2.047244094,-1.161417323,-2.541159628,-3.041338583,-1.576115486,0.789041995,0.275590551
81047,-36.77,143.83,0.024895785,0.04015748,0.088582677,-0.011811024,-0.09305655,0.025426509,0.053686471,-0.302527973,-0.144356955,-0.23954956,-0.091863517,-0.284675954
81085,-36.86,143.73,0.115081769,0.127952756,-0.00984252,-0.091863517,-0.068002863,0.062992126,-0.235673666,-0.157480315,-0.362204724,0.111355566,-0.062577704,-0.329992842
88011,-37.22,143.96,-0.143044619,-0.194225722,0.334645669,0.021474588,-0.879265092,-0.369473047,0.104986877,-0.204724409,-0.726377953,-0.984251969,0.334645669,0.866141732
88013,-37.04,143.82,-0.167322835,0.161059413,0.00656168,0.18503937,0.00492126,-0.481189851,0.019012047,-0.644897329,-0.646364057,-0.917625681,0.147067214,-0.839981351
88015,-37.3,143.78,-0.279169649,0.022497188,0.30511811,-0.098425197,-0.00656168,-0.307802434,0.419947507,-0.231588698,-0.378647522,-0.531496063,-0.096910963,-0.204724409
88020,-37.34,144.16,-0.166929134,0.205708661,0.461942257,0.078740157,0.194663167,-0.393700787,1.156496063,-0.050075977,-0.719910011,-0.209973753,-0.212482631,0.032808399
