,Latitude,Longitude,January,February,March,April,May,June,July,August,September,October,November,December
72000,-35.31,148.06,-0.007822227,0.031072136,-0.001346084,-0.00115364,-0.003028468,-0.108812624,0.063690669,0.040472663,0.036019434,-0.005682883,0.078740157,0.043165336
72004,-35.52,148.15,-0.011248594,0.031251674,-0.038164872,-0.057343376,-0.04809058,-0.276860554,0.023818488,-0.008963204,0.004445009,-0.071291764,0.08632957,0.031847934
720024,-35.5,147.77,0.01584177,0.020842983,-0.036333626,-0.101056704,-0.01435136,0.149425003,0.043231737,0.059896359,0.003426655,-0.198586187,-0.03368329,0.115298088
72042,-35.28,147.74,-0.002118612,0.016732283,-0.017983863,-0.01201121,-0.015857393,-0.076819666,0.034792163,0.004239855,0.00452274,-0.02347757,0.028689596,0.028793043
72044,-35.3,148.21,0.004999375,0.024409449,-0.019685039,-0.032960996,-0.020758769,-0.112485939,0.041223815,0.006139645,0.014083605,-0.00467897,0.105865673,0.033313144
72154,-35.22,148.03,-0.033153751,0.027790644,0.030106531,-0.064844836,0.014373203,0.094488189,0.094126165,0.00574147,0.075316672,-0.07280768,0.108468584,0.083371931
73019,-34.85,147.57,0.003002076,0.0082021,-0.02964361,-0.045632934,-0.017579578,-0.083074478,-0.012628138,-0.036061435,-0.009266509,-0.031613586,0.028670067,0.00656168
73025,-34.79,147.56,0.039156111,0.02733603,0.024531735,-0.004223806,0.022497188,-0.016616087,0.045759083,0.026746702,0.039370079,0.00492126,0.064153666,0.040264853
73029,-34.55,148.35,-0.047982283,0.011339308,-0.008676756,-0.051139219,-0.017485308,-0.136840542,-0.033418788,-0.026246719,-0.042166028,-0.013590869,0,-0.031496063
73124,-34.93,147.77,-0.011283746,0.037630987,0.016656572,-0.001334769,0.043744532,-0.056052315,0.061497558,0.00609959,0.01498983,-0.022545259,0.025926637,0.034607259
74126,-35.39,147.06,0.018224885,0.010835184,0.011373578,0.031362605,0.016235084,-0.020703534,0.052891116,0.006497974,0.041994751,-0.00735485,0.062680698,0.0398858
63007,-34.32,149.36,-0.128778702,0.058173698,0.00984252,-0.05004671,-0.010873641,0.066002779,0.045244344,0.115514093,0.043971776,0.002763663,0.028770442,-0.00738189
63022,-33.8,148.7,0.054879504,0.058658826,0,-0.030712122,0.021693717,-0.052493438,0.017823144,0.007571169,0.010902483,-0.0011525,0.055865344,0.008748906
63029,-33.74,149.1,0.019542394,0.110163982,-0.011930327,-0.041358635,0.017497813,-0.024206109,0.003662597,0.073115861,0.061978639,0.008081227,0.130928401,0.076623487
63032,-34.28,149.67,0.037815997,0.074460801,0.011650329,-0.044001853,0.018993772,-0.071905467,-0.046016975,-0.018311665,0.024079286,0.011648639,0.066213314,0.023716915
63083,-33.82,149.32,-0.011695229,0.092710185,0.00743657,-0.031332021,0.001422403,-0.06201262,-0.024606299,0.030347769,0.020540911,0.016627713,0.052705105,0.037182852
63094,-34,149.12,-0.023854213,0.108825635,0.020322695,-0.002920308,0.026983987,-0.059733913,0.037240411,0.056059569,0.048712131,0.006225394,0.123157682,0.032942311
63267,-33.97,148.95,-0.039370079,0.097267253,-0.011104381,-0.152180497,-0.079062863,-0.00328084,0.028729517,0.0082021,0.033876579,-0.02838308,0.04311961,0.031496063
70043,-34.78,149.27,-0.007087323,0.026426491,0.008226584,-0.029436986,-0.012598425,-0.042793564,0.003149606,-0.015667684,0.003123065,-0.00984252,0.053523117,0.022321429
70220,-34.44,148.72,-0.015453676,0.029527559,0.009373828,-0.03801249,-0.006340748,-0.052493438,0.02512186,0.014304179,0.034929782,-0.009085403,0.062566914,-0.00328084
73023,-34.61,148.79,-0.036186491,0.013543549,0,-0.040119985,-0.011428259,-0.106128038,-0.069195544,-0.013378182,-0.034870641,-0.041883062,0.011302674,-0.029163021
73100,-33.91,148.44,-0.007324666,0.039975772,0.03158165,-0.042650919,0.021559805,-0.050001262,0.023622047,0.010203052,0.037087755,0.028233971,0.099737533,0.063223654
61007,-32.03,150.58,0.102319411,0.038901387,0.008264343,-0.044171308,0.053149606,0.024006146,0.006489573,-0.022497188,0.021058414,0.014856633,0.082669385,0.083081593
61016,-32.39,150.69,0.049766046,0.116633628,0.046670849,-0.018033148,0.007307711,-0.006367175,0.001711945,-0.017230145,0.020508357,0.046158023,0.048895098,0.058283156
61026,-32.01,151,-0.001731785,0.031964975,0.014447735,-0.028952854,0.010340054,-0.009263548,-0.038230333,-0.029786676,0.031598323,0.021325459,0.047475683,0.017461957
61051,-31.77,150.84,0.121057172,0.038566608,0.013844423,-0.06023622,0.016095744,-0.031921685,0.007066424,0.005820652,0.006241598,0.033745782,0.078011082,0.081200787
61065,-32.14,150.73,0.010421491,0.042437877,0.039370079,-0.088003705,0.067667323,0.039370079,0.010676632,0,0.015935508,-0.022637795,0.162023016,0.102174728
61073,-32.08,150.37,0.015685539,0.044994376,0.008436445,-0.015142338,0.027837429,0.00492126,-0.021853655,-0.019685039,-0.00274675,0.037495313,0.055677702,0.060844667
61097,-31.92,151.24,0.019685039,0.105770361,0.012725682,-0.036700921,0.024059493,0.003400482,-0.018226888,-0.032842222,0.029527559,0.031725403,0.110728346,0.036654901
61100,-32.77,151.09,0.024193326,0.100393701,0.009535606,-0.011501371,0.028496438,0.001157943,-0.042398546,-0.01312336,0,0.023412732,0.049148686,0.039864135
62032,-32.36,149.95,0.111846815,0.077064835,-0.003327709,-0.014462478,0.032985742,0.004188306,0.031081641,-0.022793203,0.058309682,0.035560071,0.092016114,0.085588566
62036,-32.28,149.74,0.092519685,0.023888204,0.066337103,-0.024096068,0.035352724,-0.02216121,0.027688847,-0.014816696,0.04678763,0.107174103,0.110914691,0.018527096
82001,-36.37,146.71,0.055012779,0,-0.01386072,0.010711729,0.033506965,-0.025726523,0.136037122,0.123816485,0.033359029,0.022321429,0.088841395,0.047707272
82009,-36.61,146.54,0.061242345,0.027439752,0.000447387,-0.018829168,-0.047610328,-0.107611549,-0.002812148,-0.035090722,-0.016553329,-0.062083586,0.065112053,0.035790981
82015,-36.31,146.52,0.047038709,0.035979878,0.019533616,0,0.018864829,-0.059765447,0.044354432,0.039807524,0.028489621,-0.003124609,0.092635479,0.034170257
82029,-36.46,146.43,0.037729659,0.017489421,-0.010958682,0.016031505,-0.020842983,-0.096475867,0.00902231,0.015690134,0.027511621,-0.051181102,0.096388813,-0.005624297
82032,-36.58,146.38,0.05633994,0.026246719,0.02770487,0.016105941,0.01061665,-0.140653583,0.044787125,0.096416519,0.037054192,-0.004973063,0.076158513,0.019790873
83010,-36.63,146.86,0.098425197,0.031067049,0.001591807,-0.034239937,0.04837286,-0.029054578,0.04192139,0.003408873,0.048222186,-0.03814427,0.097941139,0.140335281
83032,-36.85,146.32,0.082020997,0.021474588,0.037658336,-0.136857893,0.039985236,-0.069901977,0.061558917,-0.045205287,0.086729968,-0.256423539,0.010207057,0.062992126
83073,-36.72,146.82,0.075806701,-0.026410761,-0.062048696,-0.058070866,-0.083992095,-0.202576951,-0.052745811,-0.094488189,-0.060027675,-0.161868311,0.054969544,-0.011811024
81047,-36.77,143.83,0.044291339,0,0.004026485,-0.014641122,-0.00579473,-0.061968455,0.027334321,0.025091762,0.007679067,0.008123985,0.030511811,0.004816105
81085,-36.86,143.73,0.008542564,-0.00984252,-0.02523723,-0.026018487,-0.067406347,0.01399825,0.008748906,-0.008105604,-0.02770487,0.00656168,-0.005047446,0.018829168
88011,-37.22,143.96,0.045609954,-0.001693337,-0.039370079,-0.020388076,0.000397678,-0.083300466,0.023622047,0.034448819,0.000735889,0.020890246,0.024917771,0.028061652
88013,-37.04,143.82,0.03163667,0,0.006216328,0.002812723,0.016169854,-0.060805764,0.017396081,0.034995626,-0.015948175,0.00656168,0.053543307,0.0174261
88015,-37.3,143.78,0.031921685,0.006005605,-0.01312336,-0.013253294,-0.014187416,-0.038100076,0.047244094,0.038598116,0.023786089,0.014933478,0.026246719,0.009155832
88020,-37.34,144.16,0.051483949,0.01457422,-0.032480315,-0.037118522,-0.010710977,-0.062634216,0.112423447,0.081637523,0.015142338,0,0.017398393,0.001353977
88021,-37.2,144.01,0.023786089,-0.015628728,0.036409922,-0.010153474,-0.04334726,-0.080032304,-0.004423604,-0.051968504,-0.015697557,-0.041415278,0.020842983,-0.005135228
88083,-37.27,143.52,0.033404915,-0.026086678,-0.01287298,-0.001194129,-0.043843951,-0.07295044,-0.030511811,-0.037472726,-0.057724805,-0.012903435,0.022965879,-0.01211387
88054,-37.27,144.11,0.05833313,-0.054512417,-0.000803471,-0.09305655,0.025582445,0.049603175,0.083950903,0.059733913,0.03993894,-0.099522196,0.029527559,-0.014132849
88056,-37.17,143.7,0.039370079,-0.028369616,-0.011023622,0.00922495,-0.016534873,-0.077253965,0.004090398,0.034541208,0.002762813,-0.021824718,0.051312469,-0.001736915
88066,-37.21,144.1,0.039588801,0.004306102,-0.003515186,0.014817859,-0.02880161,-0.048023888,0.004037957,0.029955495,-0.017224409,-0.024371954,0.054982351,0.009326107
87026,-37.49,144.61,0.002339046,-0.024329824,-0.008376612,-0.080502997,-0.048287233,-0.085049465,-0.014216973,-0.018044619,-0.029079246,0.019857603,0.082114736,0.031742126
87036,-37.42,144.56,0.033218504,0.01312336,-0.044691529,-0.042650919,-0.047244094,-0.063474209,0.058391577,0.024646309,0.006577789,-0.051399825,0.028465192,0.020955042
87061,-37.57,144.74,0.03678774,0.008575661,-0.022145669,-0.025676138,-0.014316392,-0.038626983,0.030034905,0.00984252,-0.014559078,-0.025871766,0.018044619,-0.008712251
23705,-34.8,138.95,0.011926818,0.054487179,0.027951925,0.01312336,0.01496063,-0.249117567,-0.101357011,-0.14100719,-0.070333629,-0.027499403,0.007184919,0.049332629
23715,-34.82,138.75,0.023574542,-0.019685039,-0.035239542,0.047001979,-0.015310586,-0.202658092,0.051839265,-0.042585302,-0.086275148,-0.002249719,-0.032211883,0
23719,-34.82,138.89,-0.007411864,-0.064574211,0.019201073,-0.151608087,0.037868464,0.084153543,0.113345886,0.036995944,0.069866267,-0.150421822,-0.11985109,-0.069147871
23731,-34.83,138.82,-0.006056935,-0.027559055,0.034290069,-0.006309307,-0.050678506,0.035529095,0.072759892,-0.023300659,-0.001193033,-0.032211883,-0.020300197,0.029246344
23737,-34.77,139.05,0.014008192,0.002624672,-0.00984252,-0.040280643,-0.015875032,-0.125057897,0.017335354,-0.025461751,-0.03522586,-0.055154905,0,0.01789549
23750,-34.96,138.74,0.004324425,0.006623582,-0.005028244,-0.051566049,0.020524548,-0.145614968,0.117290026,-0.034768381,-0.019685039,-0.051673228,-0.008377034,0.016908488
23803,-34.94,138.73,-0.033876579,-0.036498256,0.049212598,-0.168382798,0.096737908,0.225940507,0.112929963,0.072655691,0.01704865,-0.057824803,-0.112738815,-0.005802281
21001,-34.03,138.68,0.009263548,0.001093613,0.005811161,-0.030667219,-0.022601341,-0.042046156,0.003384664,-0.051896922,-0.024808543,-0.032808399,0.033745782,0.00044236
21002,-34.14,138.42,0.000996711,0,-0.004845548,-0.015925536,-0.029246344,-0.023622047,-0.008530184,-0.037633164,-0.019429977,-0.032808399,0.017267578,-0.004374453
21003,-33.91,138.72,0.020707811,0.011421893,0.01359265,-0.02482694,0.01511726,-0.078740157,0.031167979,-0.047438515,-0.01476378,-0.000361193,0.04255841,0.021312013
21035,-34.03,138.32,0.008748906,0,-0.000709889,0.002430252,-0.043243586,-0.037676742,0.00839895,-0.032582134,-0.028498276,-0.024278215,0.01105125,0.017999076
21054,-33.96,138.64,-0.002362205,0.001968504,0.007693004,-0.054680665,-0.037815997,-0.05511811,-0.017486005,-0.079512417,-0.059055118,-0.026937422,0.031715866,0
21076,-33.93,138.81,-0.01312336,0,0,-0.02315887,-0.049079591,0.200459318,-0.022145669,-0.034502899,-0.086614173,-0.052493438,0.020264512,0.094488189
23039,-34.19,138.63,0.017497813,-0.026246719,0.051968504,0.007869656,-0.057018735,0.265748031,-0.028121485,-0.002410413,0.044291339,-0.021474588,0.033880981,0.022965879
97004,-41.43,145.7,-0.032049705,-0.263025632,-0.083015191,0.078354176,-0.150918635,-0.299130577,-0.214441945,0.024957818,-0.255905512,-0.397279885,-0.051618548,-0.051896922
97014,-41.44,145.53,-0.055672496,-0.030621172,-0.055749106,-0.005176101,0.100507268,-0.12817956,0.068514163,0.160569352,-0.084281132,-0.169941197,-0.056594013,-0.103793844
91181,-41.43,147.21,0.053502928,-0.044639561,0.127952756,-0.227174957,-0.153730784,0.067446497,-0.083661417,-0.029825817,0.083989501,-0.126461465,0.008351229,0.002271351
