,410001,410004,410006,72000,72004,720024,72042,72044,72154,73019,73025,73029,73124,74126,Lake City,Camden,Hillsboro,phoenix area,Marshall,Subiaco,HOBART MUNICIPAL AP ,TUCUMCARI 4 NE ,DEATH VALLEY NATIONAL PARK  ,HOPEWELL,NEOSHO ,LAS ANIMAS ,BLANDING,Yosemite national park area,Saluda,Clarksdale,Portales,Springerville,Ojai
,-35.1006,-35.075,-35.3027,-35.31,-35.52,-35.5,-35.28,-35.3,-35.22,-34.85,-34.79,-34.55,-34.93,-35.39,30.2675,33.6139,32.0728,33.6194,35.8136,35.3233,35.0417,35.2281,36.5383,37.3364,36.8681,38.1406,37.6644,37.7169,34.0542,34.3017,34.2308,34.1331,34.4503
,147.3674,148.1074,148.2342,148.06,148.15,147.77,147.74,148.21,148.03,147.57,147.56,148.35,147.77,147.06,-82.6306,-92.8531,-97.0931,-110.9208,-82.6864,-93.6356,-99.0894,-103.7394,-117.0936,-77.2842,-94.3681,-103.2272,-109.4794,-119.6653,-81.775,-90.5644,-103.3375,-109.1331,-119.2439
1900-01-01,29146.993,,,49.7,48.3,,35.6,46,,23.6,36.6,62.5,32.7,50.8,,,,,,,,,,,,,,,,,,,
1900-02-01,11987.203,,,6.3,6.3,,0,2.5,,4.3,4.6,5.4,2,0,,,,,,,,,,,,,,,,,,,
1900-03-01,52313.163,,,235,305.3,,153.9,191.7,,140.5,90.1,58.2,122.7,115.6,,,,,,,,,,,,,,,,,,,
1900-04-01,173390.113,197498.971,,98.7,176.9,,85.2,135.7,,89.4,69.2,111.8,73.3,79.7,,,,,,,,,,,,,,,,,,,
1900-05-01,540009.052,,,95.4,103.7,,87.3,79,,82.3,98,95.4,99.3,77.5,,,,,,,,,,,,,,,,,,,
1900-06-01,757109.76,,,124.1,255.1,,96.3,133.3,,79.8,82,115.1,75.6,78.7,,,,,,,,,,,,,,,,,,,
1900-07-01,1621508.145,,,105.7,85.9,,83.1,104.4,,73.4,76.4,98.7,74.5,71.6,,,,,,,,,,,,,,,,,,,
1900-08-01,523148.389,472917.619,,96.4,176.3,,58.6,94.9,,52.1,53.2,54.5,60.9,62.5,,,,,,,,,,,,,,,,,,,
1900-09-01,933601.055,,,76.5,108.2,,56.4,75,,85.1,86.8,66.9,70.4,41.1,,,,,,,,,,,,,,,,,,,
1900-10-01,401090.643,488169.414,,6.9,21.6,,2.5,5.4,,3.3,2.5,4.3,4.3,0,,,,,,,,,,,,,,,,,,,
1900-11-01,175955.59,255614.559,,46.2,49.5,,39.4,49.1,,38.9,49.5,43.7,63,30.4,,,,,,,,,,,,,,,,,,,
1900-12-01,94907.035,145066.607,31697,29.3,40.9,,16.6,44.2,,35.1,28.2,64.7,29.8,1.3,,,,,,,,,,,,,,,,,,,
1901-01-01,52106.557,113343.228,18415,21.9,48.6,,10.4,34.8,,19.3,9.4,9.9,12.2,3.8,,,,,,,,,,,,,,,,,,,
1901-02-01,21043.719,100118.226,10564,2,2.5,,3,2.1,,1.5,3.6,0.8,0.8,0.8,,,,,,,,,,,,,,,,,,,
1901-03-01,24306.344,78851.429,27188,48.9,82.9,,46.7,59.7,,57.2,70.8,90.9,76.2,15.8,,,,,,,,,,,,,,,,,,,
1901-04-01,45188.707,,43680,47.2,128.8,,56.1,68.5,,42.7,26.8,67,52.3,57.2,,,,,,,,,,,,,,,,,,,
1901-05-01,45106.181,113516.949,70490,31.9,54.2,,16.3,31.9,,21.8,25.4,10.9,29,23.4,,,,,,,,,,,,,,,,,,,
1901-06-01,103496.433,136926.681,71520,84.4,200.1,,55.4,95,,38.9,30.1,51.9,40.9,49.1,,,,,,,,,,,,,,,,,,,
1901-07-01,91474.199,107393.597,74340,36,53.9,,37.6,43.1,,26.7,32.5,38.1,34.2,33.3,,,,,,,,,,,,,,,,,,,
1901-08-01,349969.193,342001.459,103130,82,151.5,,81.9,85.6,,68.6,70.4,100.1,60.6,106.6,,,,,,,,,,,,,,,,,,,
1901-09-01,551139.584,498113.756,294390,52.4,155.4,,62,73.4,,45.7,37.4,43.7,33.2,52,,,,,,,,,,,,,,,,,,,
1901-10-01,442311.049,592815.887,257280,108.5,296,,98.5,145.4,,59.2,66.9,82,82.5,100.6,,,,,,,,,,,,,,,,,,,
1901-11-01,521398.426,394711.404,147800,24.9,36.8,,15.8,28.7,,20.3,21,14.5,13.9,27.7,,,,,,,,,,,,,,,,,,,
1901-12-01,81790.811,,35425,4.8,8.4,,2.5,3.8,,0.8,2.6,1.3,3,0,,,,,,,,,,,,,,,,,,,
1902-01-01,41194.423,53677.388,16703,19.2,47.8,,19.1,28.6,,23.1,18.4,14.1,16.7,18.3,,,,,,,,,,,,,,,,,,,
1902-02-01,14579.188,18918.953,8913,4.4,18,,0.5,3.8,,3.3,1.8,3.8,3,1.5,,,,,,,,,,,,,,,,,,,
1902-03-01,15696.266,20471.076,,61.2,117.3,,57.7,55.1,,48.3,48.8,40.9,43.4,null,,,,,,,,,,,,,,,,,,,
1902-04-01,21059.813,22230.656,,0,5.1,,0,0.5,,1,1.8,0,0,null,,,,,,,,,,,,,,,,,,,
1902-05-01,15588.156,21162.875,,2.3,5.8,,3,2.5,,6.6,5.8,4.8,4.8,null,,,,,,,,,,,,,,,,,,,
1902-06-01,37049.532,53026.942,,66.2,162.3,,65.8,83.1,,49,41.1,32,58.3,null,,,,,,,,,,,,,,,,,,,
1902-07-01,79268.836,85613.484,,29.4,51.3,,28.7,34.9,,28.2,26.1,33.3,15.9,null,,,,,,,,,,,,,,,,,,,
1902-08-01,38596.5,48237.851,,13,25.6,,16.5,8.9,,7.1,10,20.3,19,null,,,,,,,,,,,,,,,,,,,
1902-09-01,46894.47,71242.468,,43.3,68.3,,38.2,40.8,,33.5,51.5,38.6,35.7,null,,,,,,,,,,,,,,,,,,,
