,January,February,March,April,May,June,July,August,September,October,November,December,Latitude,Longitude
AU_72000,-0.5538461538461538,0.2923076923076924,0.22777777777777786,-0.6012500000000001,-0.6282051282051282,0.8074999999999999,0.05952380952380952,-0.8418604651162788,-0.47696078431372546,-1.3461538461538463,0.554848484848485,0.19605263157894734,-35.31,148.06
AU_72004,-0.6410526315789473,0.5130434782608696,-0.1407407407407409,-0.9679999999999999,-1.1436842105263159,0.5279999999999996,-0.3221621621621621,-1.4539393939393939,-1.0714285714285714,-1.1428571428571428,0.20714285714285705,0.3186206896551718,-35.52,148.15
AU_720024,-0.5598039215686272,-0.019999999999999928,-0.08611111111111111,-0.6999999999999996,-0.3227272727272728,1.0074074074074075,0.05116279069767449,-0.6094017094017092,-0.3333333333333333,-0.8774999999999998,0.23009259259259263,0.5454545454545454,-35.5,147.77
AU_72042,-0.3783410138248847,-0.05555555555555555,0.0,-0.5761904761904761,-0.25000000000000044,0.7160000000000002,-0.01599999999999966,-0.7687500000000003,-0.6612085769980508,-0.7111111111111101,0.1517241379310343,0.3905241935483871,-35.28,147.74
AU_72044,-0.31111111111111117,0.06400000000000006,0.04199999999999992,-0.4555555555555557,-0.5575000000000001,0.8129032258064517,0.4396969696969695,-0.6110389610389615,-0.2727272727272727,-0.6670406732117811,0.915142857142857,0.8000000000000009,-35.3,148.21
AU_72154,-0.35609756097560996,0.2666666666666667,0.41142857142857137,-0.3799999999999999,-0.5333333333333333,1.0559999999999996,0.14400000000000004,-0.5714285714285714,-0.43000000000000044,-0.9950000000000003,0.6666666666666666,0.723076923076923,-35.22,148.03
AU_73019,-0.4444444444444444,-0.1269230769230768,-0.2583333333333333,-0.5581395348837209,-0.5920000000000002,0.5066666666666667,-0.19310344827586212,-0.5263157894736842,-0.5359999999999999,-0.8214285714285714,0.0,0.05416666666666655,-34.85,147.57
AU_73025,-0.11999999999999998,0.23076923076923078,0.21999999999999992,-0.4000000000000001,-0.23333333333333428,0.7888888888888889,0.2933333333333332,-0.1888888888888888,-0.36470588235294094,-0.5365853658536585,0.24444444444444446,0.23749999999999982,-34.79,147.56
AU_73029,-0.5526806526806527,0.0,0.18153409090909092,-0.47777777777777763,-0.44054054054054054,0.251851851851852,0.0,-0.34615384615384615,-0.4875,-0.6727272727272726,-0.08722826086956523,0.1581395348837209,-34.55,148.35
AU_73124,-0.212406015037594,0.1396103896103896,0.4301470588235293,-0.40625,-0.27499999999999947,0.8999999999999999,0.39090909090909054,-0.18333333333333326,-0.43858560794044676,-0.8057142857142857,0.2583333333333333,0.3246646341463414,-34.93,147.77
AU_74126,4.608333333333333,0.4272727272727273,3.1999999999999993,-0.23999999999999985,2.8416666666666663,1.4666666666666686,-0.6449999999999997,3.1075757575757574,0.8100000000000003,-0.11999999999999983,-0.5333333333333314,0.6000000000000002,-35.39,147.06
AU_63007,-0.9942857142857142,0.43333333333333296,0.2253315649867375,-0.4852870813397131,-0.8145424836601307,0.6464285714285716,0.225,-0.40689655172413786,-1.0,-0.5083916083916084,-0.6692307692307694,-0.5090909090909093,-34.32,149.36
AU_63022,-0.9217391304347827,0.26981981981981984,-0.016666666666666607,-0.18911764705882353,-0.34375,0.8671957671957671,0.3325783972125436,-0.20799999999999996,-0.4473684210526316,-0.40645161290322585,0.05572755417956656,0.5083333333333333,-33.8,148.7
AU_63029,-1.0842105263157895,0.0034482758620690145,0.2526315789473684,-0.2901538461538459,-0.5894736842105257,0.9526315789473683,0.19411764705882378,-0.14392156862745112,-1.0583333333333336,-0.732,0.6619607843137254,0.5043478260869566,-33.74,149.1
AU_63032,-1.2049999999999998,-0.17777777777777715,-0.47368421052631576,-0.5612903225806453,-0.6489130434782608,0.32990476190476187,0.41770833333333335,-0.3,-0.5195833333333333,-0.5902439024390242,-0.29999999999999954,0.505555555555556,-34.28,149.67
AU_63083,-1.3846153846153846,0.4291666666666668,0.30661450924608813,-0.7629629629629631,-0.7964285714285714,0.5419580419580419,0.03318181818181833,-0.33605769230769234,-1.0914285714285714,-0.9822916666666668,-0.1416666666666669,0.6114285714285714,-33.82,149.32
AU_63094,-0.8999999999999999,0.2833333333333332,0.20000000000000032,-0.4507692307692308,-0.3791666666666667,1.006896551724138,0.43888888888888866,-0.34399999999999975,-0.7160000000000002,-0.8708333333333333,0.19999999999999993,0.40000000000000213,-34.0,149.12
AU_63267,-0.8356250000000001,0.15789473684210525,-0.09615384615384616,-0.37333333333333335,-0.6476190476190476,0.49166666666666686,0.32432432432432434,-0.10416666666666667,-0.37083333333333296,-0.51,0.32658823529411773,0.6374999999999997,-33.97,148.95
AU_70043,-0.19160839160839166,-0.10344827586206896,0.22962962962962974,-0.23551724137931035,-0.3999999999999999,0.8249999999999997,0.33000000000000007,-0.012903225806451568,-0.5419047619047619,-0.17403846153846145,0.12147435897435908,0.97603668261563,-34.78,149.27
AU_70220,-0.48571428571428515,-0.3111111111111111,0.25454545454545463,-0.22399999999999992,-0.4353846153846155,0.7275862068965516,0.10399999999999977,-0.3527272727272727,-0.5023809523809524,-0.48571428571428565,0.22871794871794868,0.288888888888889,-34.44,148.72
