,January,February,March,April,May,June,July,August,September,October,November,December,Latitude,Longitude
AU_72000,-0.06575682382134007,0.011399711399711441,0.008317972350230424,0.23113997113997115,0.08299483648881231,-0.6742654508611957,0.11213235294117647,0.16899313501144175,0.0020726495726496024,0.1744565217391304,0.29168391994478937,0.11598746081504702,-35.31,148.06
AU_72004,-0.043290854572713644,0.07679487179487175,-0.06578947368421052,0.25285714285714267,0.23928571428571438,-1.3690140845070424,0.2289473684210527,0.13275862068965522,-0.024242424242424156,0.07142857142857166,0.5277777777777778,0.2486111111111111,-35.52,148.15
AU_720024,0.9421122994652407,-0.46916666666666657,0.08750000000000002,-0.1257575757575758,1.3687500000000004,-0.012771739130434742,0.03571428571428597,0.9199999999999999,1.02962962962963,-1.2736842105263155,0.6461538461538461,1.6409090909090909,-35.5,147.77
AU_72042,0.015662650602409647,0.0,-0.06296296296296294,0.09016393442622951,-0.05000000000000012,-0.3357142857142857,0.13870967741935497,0.15915492957746485,0.008333333333333255,0.03698630136986295,0.09090909090909091,0.1372093023255812,-35.28,147.74
AU_72044,-0.023809523809523808,0.08113207547169811,-0.017647058823529453,0.19189189189189193,0.2085714285714285,-0.6625,0.10000000000000003,0.1750000000000002,0.03333333333333341,0.2499999999999999,0.3983870967741935,0.0,-35.3,148.21
AU_72154,0.038750000000000284,-0.11312500000000009,0.089769820971867,0.22058823529411764,0.963157894736842,-0.2496666666666668,0.46432217810550186,0.3265395894428149,0.6387362637362637,0.3702941176470589,0.8945906432748538,0.6076704545454547,-35.22,148.03
AU_73019,0.11992309540975728,0.08811764705882355,0.0036375661375661096,0.10147058823529415,0.10384057971014492,-0.34484042553191485,-0.014642857142857046,-0.03550420168067224,-0.12742946708463956,0.07171428571428573,0.21237373737373771,0.12925407925407928,-34.85,147.57
AU_73025,0.19999999999999984,0.07300000000000001,0.11102430555555554,0.20733333333333331,0.14387499999999998,-0.286344696969697,0.06982142857142852,0.0622844827586207,-0.05545634920634922,0.1514285714285714,0.34999999999999987,0.16626016260162596,-34.79,147.56
AU_73029,-0.049999999999999996,0.16,0.0717948717948719,-0.024137931034482855,0.10624999999999996,-0.3515625,-0.05999999999999991,0.08571428571428592,-0.042307692307692366,0.2417635658914728,0.12366028708133961,0.0017246506095746864,-34.55,148.35
AU_73124,0.0159090909090909,0.12264957264957274,0.03814968814968813,0.15380952380952378,0.18805970149253734,-0.3296296296296297,0.2059701492537313,0.054838709677419446,-0.07662337662337661,0.04285714285714286,0.22826086956521738,0.19836065573770484,-34.93,147.77
AU_74126,0.009677419354838733,0.045588235294117645,0.028333333333333353,0.13777056277056277,0.1400000000000001,-0.24687500000000018,0.1844827586206897,0.0,0.15769230769230766,0.3245039682539683,0.06666666666666667,0.044444444444444446,-35.39,147.06
AU_63007,0.016666666666666313,0.20909090909090916,0.0019230769230769505,0.26276789785681715,0.4912446120689655,0.018198529411764783,0.15491071428571423,0.7749999999999998,0.17999999999999972,0.8325000000000001,0.25,0.40769230769230785,-34.32,149.36
AU_63022,0.4979166666666666,0.11489361702127664,0.1695652173913043,0.1462962962962963,0.3028571428571429,-0.46923076923076934,-0.23548387096774206,0.2384615384615384,-0.06222222222222216,0.2716666666666666,0.3062499999999999,-0.029999999999999714,-33.8,148.7
AU_63029,0.12353846153846149,0.3346153846153847,-0.24950980392156857,0.07692307692307693,0.5383333333333333,-0.3674603174603175,-0.08750000000000006,0.5242448979591836,0.07441860465116286,0.6493675889328065,0.5786041189931351,0.26595744680851063,-33.74,149.1
AU_63032,0.39800000000000013,0.49411764705882344,-0.029850746268656716,0.25833333333333347,0.31470588235294117,-0.35000000000000014,-0.377027027027027,0.04666666666666662,-0.043749999999999734,0.2823529411764704,0.2441860465116279,0.27500000000000036,-34.28,149.67
AU_63083,0.007916666666666617,0.15811494937462772,0.024999999999999974,0.15637755102040807,0.3545454545454546,-0.2932203389830508,0.13142857142857137,0.37599999999999967,0.04130434782608708,0.3103448275862068,0.5338235294117647,0.2400000000000001,-33.82,149.32
AU_63094,-0.08355855855855855,0.38509259259259254,-0.013745644599303143,0.17857142857142858,0.3850000000000001,-0.5045454545454545,-0.0410958904109589,0.3125,0.009302325581395316,0.2895833333333333,0.5076923076923078,0.11538461538461539,-34.0,149.12
AU_63267,0.43999999999999984,0.5727272727272724,0.46249999999999947,-0.5080000000000001,0.6451612903225806,-0.5105263157894736,-0.10357142857142877,0.6432432432432431,0.1294117647058823,0.6947368421052633,0.20000000000000004,0.08499999999999978,-33.97,148.95
AU_70043,-0.05813953488372093,0.10655737704918032,-0.015625,0.11929824561403504,0.1352941176470588,-0.25,-0.01904761904761898,0.15614035087719297,-0.01935483870967735,0.3099999999999998,0.1839999999999999,0.1456140350877193,-34.78,149.27
AU_70220,0.10121951219512192,0.15671641791044777,0.13768115942028988,0.013157894736842105,0.07555555555555553,-0.1987012987012987,0.036363636363636556,0.19459459459459447,0.10289855072463765,0.25294117647058834,0.21489361702127655,0.09999999999999995,-34.44,148.72
AU_73023,0.41851851851851857,0.3776292335115864,0.08293650793650795,0.29642857142857143,0.35611111111111127,-0.33421052631578974,-0.14349881796690306,0.3591180371352787,-0.02157622739018089,0.4281304347826087,0.21306818181818188,0.31428571428571417,-34.61,148.79
