Month,Lake City,Camden,Hillsboro,phoenix area,Marshall,Subiaco,HOBART MUNICIPAL AP ,TUCUMCARI 4 NE ,DEATH VALLEY NATIONAL PARK  ,HOPEWELL,NEOSHO ,LAS ANIMAS ,BLANDING,Yosemite national park area,Saluda,Clarksdale,Portales,Springerville,Ojai
Jan,0.02254032258064515,-0.007878787878787872,-0.0016379310344827591,0.0006677927927927928,-0.0015470085470085484,-0.003478260869565218,-0.002112676056338027,0.0007407407407407409,5.555555555555556e-05,0.005806451612903231,0.000325630252100839,0.0014705882352941174,0.0036111111111111144,-0.002749999999999986,0.0014285714285714236,-0.001621621621621623,3.348214285714286e-05,-0.0007692307692307693,0.001388888888888889
Feb,-0.0004477611940298478,0.0071008403361344586,0.003015458058649693,-0.0006155303030303031,-0.004545454545454547,-0.002666666666666666,-0.0021052631578947377,0.00048360655737704917,0.00017857142857142857,0.0014668715846994505,0.0034088607594936733,0.00043478260869565214,-0.00275,-0.01666666666666666,-0.0035714285714285587,0.008387096774193548,0.0015925559947299079,-0.0006287030941408823,0.001232876712328767
Mar,0.009823693164243738,-0.0052941176470588675,0.008816473410635748,1.6578947368421053e-05,-0.003513645224171539,0.0022649572649572885,0.0012613636363636325,0.0010256410256410259,2.5e-05,0.0074557986215163284,0.008800000000000025,0.0012422839506172837,-0.002413793103448278,0.015000000000000005,-0.009909090909090913,-0.009931506849315047,-6.414473684210527e-06,-0.002580645161290322,0.0004545454545454549
Apr,0.005599385245901638,-0.005604395604395602,-0.013650793650793655,-6.2114197530864206e-06,0.0034210526315789445,-0.002102581521739126,-0.006881720430107526,0.0007960304054054042,0.0,0.0040873015873015865,0.00294117647058824,0.0025000000000000022,-0.0002380952380952383,-0.011742424242424238,-0.01586206896551724,0.012075471698113219,-0.0009232954545454545,-0.002100877192982456,-0.0047141000649772585
May,0.0008391608391608398,-0.00138888888888889,-0.002672619047619048,-7.5192220714608775e-06,0.009675438596491226,-0.002982456140350876,-0.0052941176470588215,-0.008275862068965517,0.0,0.010566037735849057,0.012413793103448256,-0.0030555555555555644,-0.0005882352941176471,-0.0004761904761904766,0.005725995316159251,0.013,-0.008961925287356324,-0.0019354838709677415,0.0
Jun,0.013333333333333322,0.006849624060150373,0.005,0.0,0.00847826086956522,-0.004492107069320522,-0.0019999999999999575,-0.002125000000000002,0.0,-0.006285013289715804,-0.015119047619047619,0.0012565789473684215,-6.944444444444445e-06,-0.0026666666666666666,0.001470588235294119,0.003784090909090907,-0.0002742537313432838,-0.00019419306184012075,0.0
Jul,0.0,-0.002434210526315805,-0.002068965517241377,0.00339642857142857,-0.0012174833635813721,0.008363636363636363,0.004915254237288136,0.0023888888888888883,8.771929824561403e-06,0.003000000000000007,0.006705882352941174,0.0013924050632911397,0.002181818181818182,0.0,-0.008623798076923084,0.0070473174366617,-0.004672043010752669,0.0014670014347202276,0.0
Aug,0.01947368421052631,0.005459024273011294,0.0065439946470391445,0.0,0.00517241379310343,0.010000000000000009,0.0039999999999999975,0.0021276595744680773,0.0,0.001755795574288723,0.005933268858800774,0.0036708860759493674,-0.000967741935483871,0.0,0.0048837209302325674,0.0058601626016260185,0.006956521739130441,-0.00035714285714284955,0.0
Sep,-0.0004878048780487809,0.0028759398496240596,0.005507246376811593,-0.0012933094384707277,0.012499999999999994,-0.001883445945945947,0.0007843137254901793,0.002068965517241381,0.0,0.011666666666666667,0.0064999999999999945,0.002439024390243902,0.0017647058823529428,0.0005566037735849057,0.00194444444444444,0.006527777777777777,0.0005555555555555561,-0.0020722186076772954,0.0
Oct,-0.002513736263736265,0.018874824191279893,0.012516666666666669,0.0,0.001392118863049097,0.0005803571428571454,-0.0018809523809523827,0.002526595744680852,0.0,0.017619047619047618,-0.00019049346879535366,0.0025,1.2462006079027356e-05,0.0,0.009999999999999995,0.018181818181818157,0.0011864406779661008,0.0035000000000000005,0.0
Nov,0.0033928571428571428,-0.006939393939393938,-0.0014142857142857156,0.0001360607182524991,0.012894088669950742,0.010000000000000004,0.0005555555555555559,0.000641025641025641,0.0,0.013999999999999981,0.0008000000000000007,-0.0002500000000000002,0.00016949152542372896,0.0057894736842105275,0.012903225806451616,-0.0036083052749719437,2.777777777777778e-05,0.0,0.0
Dec,0.004166666666666666,0.0040000000000000036,0.00277777777777778,-1.5973630831643003e-05,0.011874999999999997,0.014076704545454548,0.0010909090909090918,0.0016666666666666666,0.0,0.009999999999999998,0.005947656517276774,-0.00022988505747126458,-0.001038074712643679,-0.010083333333333359,0.0015000000000000013,0.007082066869300912,0.0004759001161440188,-0.00032258064516129016,-0.003333333333333333
